<Ewe/V>	I/mA	Ns	time/s	
1.4741626E+000	5.1590344E+002	0	08/31/2025 15:58:18.2850
1.4741821E+000	5.1743195E+002	0	08/31/2025 15:58:18.3850
1.4741987E+000	5.1386554E+002	0	08/31/2025 15:58:18.4850
1.4742237E+000	5.1386554E+002	0	08/31/2025 15:58:18.5850
1.4742454E+000	5.1692249E+002	0	08/31/2025 15:58:18.6850
1.4742632E+000	5.1946991E+002	0	08/31/2025 15:58:18.7850
1.4742900E+000	5.1488452E+002	0	08/31/2025 15:58:18.8850
1.4743037E+000	5.1845093E+002	0	08/31/2025 15:58:18.9850
1.4743134E+000	5.2252686E+002	0	08/31/2025 15:58:19.0850
1.4743322E+000	5.2558374E+002	0	08/31/2025 15:58:19.1850
1.4743474E+000	5.1743195E+002	0	08/31/2025 15:58:19.2850
1.4743760E+000	5.2099835E+002	0	08/31/2025 15:58:19.3850
1.4743938E+000	5.1590344E+002	0	08/31/2025 15:58:19.4850
1.4744126E+000	5.1743195E+002	0	08/31/2025 15:58:19.5850
1.4744272E+000	5.2150787E+002	0	08/31/2025 15:58:19.6850
1.4744465E+000	5.2150787E+002	0	08/31/2025 15:58:19.7850
1.4744568E+000	5.2354584E+002	0	08/31/2025 15:58:19.8850
1.4744629E+000	5.2354584E+002	0	08/31/2025 15:58:19.9850
1.4744906E+000	5.1946991E+002	0	08/31/2025 15:58:20.0850
1.4745132E+000	5.1845093E+002	0	08/31/2025 15:58:20.1850
1.4745259E+000	5.2048889E+002	0	08/31/2025 15:58:20.2850
1.4745358E+000	5.1182755E+002	0	08/31/2025 15:58:20.3850
1.4745582E+000	5.1692249E+002	0	08/31/2025 15:58:20.4850
1.4745774E+000	5.1488452E+002	0	08/31/2025 15:58:20.5850
1.4745921E+000	5.0928009E+002	0	08/31/2025 15:58:20.6850
1.4746033E+000	5.1182755E+002	0	08/31/2025 15:58:20.7850
1.4746189E+000	5.1488452E+002	0	08/31/2025 15:58:20.8850
1.4746323E+000	5.1029907E+002	0	08/31/2025 15:58:20.9850
1.4746501E+000	5.1743195E+002	0	08/31/2025 15:58:21.0850
1.4746753E+000	5.2099835E+002	0	08/31/2025 15:58:21.1850
1.4746941E+000	5.1437500E+002	0	08/31/2025 15:58:21.2850
1.4747088E+000	5.1437500E+002	0	08/31/2025 15:58:21.3850
1.4747223E+000	5.1997943E+002	0	08/31/2025 15:58:21.4850
1.4747447E+000	5.1386554E+002	0	08/31/2025 15:58:21.5850
1.4747516E+000	5.1488452E+002	0	08/31/2025 15:58:21.6850
1.4747791E+000	5.1896039E+002	0	08/31/2025 15:58:21.7850
1.4747792E+000	5.1946991E+002	0	08/31/2025 15:58:21.8850
1.4747947E+000	5.1335602E+002	0	08/31/2025 15:58:21.9850
1.4748123E+000	5.2354584E+002	0	08/31/2025 15:58:22.0850
1.4748207E+000	5.1386554E+002	0	08/31/2025 15:58:22.1850
1.4748437E+000	5.1794147E+002	0	08/31/2025 15:58:22.2850
1.4748583E+000	5.1896039E+002	0	08/31/2025 15:58:22.3850
1.4748673E+000	5.1641296E+002	0	08/31/2025 15:58:22.4850
1.4748870E+000	5.1794147E+002	0	08/31/2025 15:58:22.5850
1.4749019E+000	5.0622314E+002	0	08/31/2025 15:58:22.6850
1.4749185E+000	5.1131805E+002	0	08/31/2025 15:58:22.7850
1.4749314E+000	5.1386554E+002	0	08/31/2025 15:58:22.8850
1.4749395E+000	5.1335602E+002	0	08/31/2025 15:58:22.9850
1.4749595E+000	5.1590344E+002	0	08/31/2025 15:58:23.0850
1.4749740E+000	5.2303632E+002	0	08/31/2025 15:58:23.1850
1.4749893E+000	5.0978955E+002	0	08/31/2025 15:58:23.2850
1.4750046E+000	5.2456482E+002	0	08/31/2025 15:58:23.3850
1.4750171E+000	5.1182755E+002	0	08/31/2025 15:58:23.4850
1.4750190E+000	5.1335602E+002	0	08/31/2025 15:58:23.5850
1.4750268E+000	5.1794147E+002	0	08/31/2025 15:58:23.6850
1.4750568E+000	5.1845093E+002	0	08/31/2025 15:58:23.7850
1.4750613E+000	5.2150787E+002	0	08/31/2025 15:58:23.8850
1.4750695E+000	5.1896039E+002	0	08/31/2025 15:58:23.9850
1.4750874E+000	5.1590344E+002	0	08/31/2025 15:58:24.0850
1.4750977E+000	5.1131805E+002	0	08/31/2025 15:58:24.1850
1.4751117E+000	5.1488452E+002	0	08/31/2025 15:58:24.2850
1.4751184E+000	5.1946991E+002	0	08/31/2025 15:58:24.3850
1.4751410E+000	5.1946991E+002	0	08/31/2025 15:58:24.4850
1.4751527E+000	5.2609326E+002	0	08/31/2025 15:58:24.5850
1.4751626E+000	5.1794147E+002	0	08/31/2025 15:58:24.6850
1.4751742E+000	5.0622314E+002	0	08/31/2025 15:58:24.7850
1.4751924E+000	5.2354584E+002	0	08/31/2025 15:58:24.8850
1.4751953E+000	5.1437500E+002	0	08/31/2025 15:58:24.9850
1.4752133E+000	5.1692249E+002	0	08/31/2025 15:58:25.0850
1.4752231E+000	5.1386554E+002	0	08/31/2025 15:58:25.1850
1.4752402E+000	5.1080859E+002	0	08/31/2025 15:58:25.2850
1.4752495E+000	5.1386554E+002	0	08/31/2025 15:58:25.3850
1.4752681E+000	5.0877063E+002	0	08/31/2025 15:58:25.4850
1.4752724E+000	5.1997943E+002	0	08/31/2025 15:58:25.5850
1.4752908E+000	5.2201733E+002	0	08/31/2025 15:58:25.6850
1.4752947E+000	5.1284650E+002	0	08/31/2025 15:58:25.7850
1.4753090E+000	5.1386554E+002	0	08/31/2025 15:58:25.8850
1.4753250E+000	5.0978955E+002	0	08/31/2025 15:58:25.9850
1.4753338E+000	5.1845093E+002	0	08/31/2025 15:58:26.0850
1.4753398E+000	5.1488452E+002	0	08/31/2025 15:58:26.1850
1.4753551E+000	5.1386554E+002	0	08/31/2025 15:58:26.2850
1.4753586E+000	5.1488452E+002	0	08/31/2025 15:58:26.3850
1.4753816E+000	5.1946991E+002	0	08/31/2025 15:58:26.4850
1.4753927E+000	5.1131805E+002	0	08/31/2025 15:58:26.5850
1.4754002E+000	5.1997943E+002	0	08/31/2025 15:58:26.6850
1.4754165E+000	5.1692249E+002	0	08/31/2025 15:58:26.7850
1.4754310E+000	5.0469470E+002	0	08/31/2025 15:58:26.8850
1.4754354E+000	5.1997943E+002	0	08/31/2025 15:58:26.9850
1.4754544E+000	5.1386554E+002	0	08/31/2025 15:58:27.0850
1.4754601E+000	5.1386554E+002	0	08/31/2025 15:58:27.1850
1.4754726E+000	5.1794147E+002	0	08/31/2025 15:58:27.2850
1.4754937E+000	5.1284650E+002	0	08/31/2025 15:58:27.3850
1.4754932E+000	5.1845093E+002	0	08/31/2025 15:58:27.4850
1.4755124E+000	5.1692249E+002	0	08/31/2025 15:58:27.5850
1.4755211E+000	5.1946991E+002	0	08/31/2025 15:58:27.6850
1.4755310E+000	5.1794147E+002	0	08/31/2025 15:58:27.7850
1.4755425E+000	5.1284650E+002	0	08/31/2025 15:58:27.8850
1.4755560E+000	5.1539404E+002	0	08/31/2025 15:58:27.9850
1.4755687E+000	5.1080859E+002	0	08/31/2025 15:58:28.0850
1.4755794E+000	5.1437500E+002	0	08/31/2025 15:58:28.1850
1.4755882E+000	5.0775165E+002	0	08/31/2025 15:58:28.2850
1.4756057E+000	5.1386554E+002	0	08/31/2025 15:58:28.3850
1.4756063E+000	5.1896039E+002	0	08/31/2025 15:58:28.4850
1.4756256E+000	5.1029907E+002	0	08/31/2025 15:58:28.5850
1.4756413E+000	5.1131805E+002	0	08/31/2025 15:58:28.6850
1.4756513E+000	5.1335602E+002	0	08/31/2025 15:58:28.7850
1.4756609E+000	5.2201733E+002	0	08/31/2025 15:58:28.8850
1.4756707E+000	5.1488452E+002	0	08/31/2025 15:58:28.9850
1.4756819E+000	5.1590344E+002	0	08/31/2025 15:58:29.0850
1.4756945E+000	5.1794147E+002	0	08/31/2025 15:58:29.1850
1.4757107E+000	5.2660272E+002	0	08/31/2025 15:58:29.2850
1.4757198E+000	5.1641296E+002	0	08/31/2025 15:58:29.3850
1.4757335E+000	5.2354584E+002	0	08/31/2025 15:58:29.4850
1.4757397E+000	5.0826111E+002	0	08/31/2025 15:58:29.5850
1.4757557E+000	5.1386554E+002	0	08/31/2025 15:58:29.6850
1.4757696E+000	5.2099835E+002	0	08/31/2025 15:58:29.7850
1.4757749E+000	5.1335602E+002	0	08/31/2025 15:58:29.8850
1.4757887E+000	5.2150787E+002	0	08/31/2025 15:58:29.9850
1.4758005E+000	5.2405530E+002	0	08/31/2025 15:58:30.0850
1.4758236E+000	5.1743195E+002	0	08/31/2025 15:58:30.1850
1.4758309E+000	5.2609326E+002	0	08/31/2025 15:58:30.2850
1.4758433E+000	5.2609326E+002	0	08/31/2025 15:58:30.3850
1.4758556E+000	5.2099835E+002	0	08/31/2025 15:58:30.4850
1.4758642E+000	5.1946991E+002	0	08/31/2025 15:58:30.5850
1.4758669E+000	5.1641296E+002	0	08/31/2025 15:58:30.6850
1.4758888E+000	5.2048889E+002	0	08/31/2025 15:58:30.7850
1.4758986E+000	5.2609326E+002	0	08/31/2025 15:58:30.8850
1.4759096E+000	5.1997943E+002	0	08/31/2025 15:58:30.9850
1.4759192E+000	5.1590344E+002	0	08/31/2025 15:58:31.0850
1.4759313E+000	5.1845093E+002	0	08/31/2025 15:58:31.1850
1.4759337E+000	5.1386554E+002	0	08/31/2025 15:58:31.2850
1.4759525E+000	5.1335602E+002	0	08/31/2025 15:58:31.3850
1.4759657E+000	5.1233710E+002	0	08/31/2025 15:58:31.4850
1.4759724E+000	5.1794147E+002	0	08/31/2025 15:58:31.5850
1.4759923E+000	5.1131805E+002	0	08/31/2025 15:58:31.6850
1.4760025E+000	5.1743195E+002	0	08/31/2025 15:58:31.7850
1.4760084E+000	5.1284650E+002	0	08/31/2025 15:58:31.8850
1.4760234E+000	5.0928009E+002	0	08/31/2025 15:58:31.9850
1.4760404E+000	5.1437500E+002	0	08/31/2025 15:58:32.0850
1.4760635E+000	5.1794147E+002	0	08/31/2025 15:58:32.1850
1.4760741E+000	5.1743195E+002	0	08/31/2025 15:58:32.2850
1.4760823E+000	5.1590344E+002	0	08/31/2025 15:58:32.3850
1.4760957E+000	5.1896039E+002	0	08/31/2025 15:58:32.4850
1.4760969E+000	5.1794147E+002	0	08/31/2025 15:58:32.5850
1.4760991E+000	5.1437500E+002	0	08/31/2025 15:58:32.6850
1.4761231E+000	5.1896039E+002	0	08/31/2025 15:58:32.7850
1.4761277E+000	5.1284650E+002	0	08/31/2025 15:58:32.8850
1.4761512E+000	5.2354584E+002	0	08/31/2025 15:58:32.9850
1.4761552E+000	5.2609326E+002	0	08/31/2025 15:58:33.0850
1.4761757E+000	5.2201733E+002	0	08/31/2025 15:58:33.1850
1.4761957E+000	5.1794147E+002	0	08/31/2025 15:58:33.2850
1.4761966E+000	5.1794147E+002	0	08/31/2025 15:58:33.3850
1.4762115E+000	5.1845093E+002	0	08/31/2025 15:58:33.4850
1.4762193E+000	5.1539404E+002	0	08/31/2025 15:58:33.5850
1.4762242E+000	5.2303632E+002	0	08/31/2025 15:58:33.6850
1.4762371E+000	5.2609326E+002	0	08/31/2025 15:58:33.7850
1.4762473E+000	5.1845093E+002	0	08/31/2025 15:58:33.8850
1.4762634E+000	5.0928009E+002	0	08/31/2025 15:58:33.9850
1.4762608E+000	5.0367569E+002	0	08/31/2025 15:58:34.0850
1.4762783E+000	5.1386554E+002	0	08/31/2025 15:58:34.1850
1.4762897E+000	5.1590344E+002	0	08/31/2025 15:58:34.2850
1.4762971E+000	5.1896039E+002	0	08/31/2025 15:58:34.3850
1.4763142E+000	5.1896039E+002	0	08/31/2025 15:58:34.4850
1.4763200E+000	5.1539404E+002	0	08/31/2025 15:58:34.5850
1.4763259E+000	5.2099835E+002	0	08/31/2025 15:58:34.6850
1.4763457E+000	5.1488452E+002	0	08/31/2025 15:58:34.7850
1.4763409E+000	5.1845093E+002	0	08/31/2025 15:58:34.8850
1.4763569E+000	5.1131805E+002	0	08/31/2025 15:58:34.9850
1.4763683E+000	5.1335602E+002	0	08/31/2025 15:58:35.0850
1.4763811E+000	5.2456482E+002	0	08/31/2025 15:58:35.1850
1.4763955E+000	5.0928009E+002	0	08/31/2025 15:58:35.2850
1.4763998E+000	5.1692249E+002	0	08/31/2025 15:58:35.3850
1.4763993E+000	5.2456482E+002	0	08/31/2025 15:58:35.4850
1.4764174E+000	5.1794147E+002	0	08/31/2025 15:58:35.5850
1.4764234E+000	5.1794147E+002	0	08/31/2025 15:58:35.6850
1.4764357E+000	5.0775165E+002	0	08/31/2025 15:58:35.7850
1.4764425E+000	5.1845093E+002	0	08/31/2025 15:58:35.8850
1.4764448E+000	5.1845093E+002	0	08/31/2025 15:58:35.9850
1.4764630E+000	5.1590344E+002	0	08/31/2025 15:58:36.0850
1.4764700E+000	5.1539404E+002	0	08/31/2025 15:58:36.1850
1.4764860E+000	5.2048889E+002	0	08/31/2025 15:58:36.2850
1.4764904E+000	5.1335602E+002	0	08/31/2025 15:58:36.3850
1.4764977E+000	5.2507428E+002	0	08/31/2025 15:58:36.4850
1.4765029E+000	5.2048889E+002	0	08/31/2025 15:58:36.5850
1.4765139E+000	5.2048889E+002	0	08/31/2025 15:58:36.6850
1.4765177E+000	5.1488452E+002	0	08/31/2025 15:58:36.7850
1.4765141E+000	5.1131805E+002	0	08/31/2025 15:58:36.8850
1.4765248E+000	5.1233710E+002	0	08/31/2025 15:58:36.9850
1.4765378E+000	5.1845093E+002	0	08/31/2025 15:58:37.0850
1.4765536E+000	5.1539404E+002	0	08/31/2025 15:58:37.1850
1.4765630E+000	5.1437500E+002	0	08/31/2025 15:58:37.2850
1.4765666E+000	5.1590344E+002	0	08/31/2025 15:58:37.3850
1.4765798E+000	5.1946991E+002	0	08/31/2025 15:58:37.4850
1.4765822E+000	5.1692249E+002	0	08/31/2025 15:58:37.5850
1.4765862E+000	5.0877063E+002	0	08/31/2025 15:58:37.6850
1.4766022E+000	5.1794147E+002	0	08/31/2025 15:58:37.7850
1.4766127E+000	5.1590344E+002	0	08/31/2025 15:58:37.8850
1.4766223E+000	5.1284650E+002	0	08/31/2025 15:58:37.9850
1.4766324E+000	5.0978955E+002	0	08/31/2025 15:58:38.0850
1.4766334E+000	5.1896039E+002	0	08/31/2025 15:58:38.1850
1.4766411E+000	5.0928009E+002	0	08/31/2025 15:58:38.2850
1.4766505E+000	5.1896039E+002	0	08/31/2025 15:58:38.3850
1.4766616E+000	5.1131805E+002	0	08/31/2025 15:58:38.4850
1.4766737E+000	5.1896039E+002	0	08/31/2025 15:58:38.5850
1.4766833E+000	5.1845093E+002	0	08/31/2025 15:58:38.6850
1.4766898E+000	5.1641296E+002	0	08/31/2025 15:58:38.7850
1.4767007E+000	5.1488452E+002	0	08/31/2025 15:58:38.8850
1.4767040E+000	5.2405530E+002	0	08/31/2025 15:58:38.9850
1.4767139E+000	5.1692249E+002	0	08/31/2025 15:58:39.0850
1.4767256E+000	5.1743195E+002	0	08/31/2025 15:58:39.1850
1.4767337E+000	5.1335602E+002	0	08/31/2025 15:58:39.2850
1.4767427E+000	5.1590344E+002	0	08/31/2025 15:58:39.3850
1.4767499E+000	5.2303632E+002	0	08/31/2025 15:58:39.4850
1.4767510E+000	5.2252686E+002	0	08/31/2025 15:58:39.5850
1.4767616E+000	5.1641296E+002	0	08/31/2025 15:58:39.6850
1.4767698E+000	5.1488452E+002	0	08/31/2025 15:58:39.7850
1.4767807E+000	5.1335602E+002	0	08/31/2025 15:58:39.8850
1.4767929E+000	5.1539404E+002	0	08/31/2025 15:58:39.9850
1.4767933E+000	5.1284650E+002	0	08/31/2025 15:58:40.0850
1.4768121E+000	5.2252686E+002	0	08/31/2025 15:58:40.1850
