<Ewe/V>	I/mA	Ns	time/s	
1.4125336E+000	3.5227623E+001	6	08/31/2025 13:47:55.2404
1.4125422E+000	3.5163975E+001	6	08/31/2025 13:47:55.3404
1.4125506E+000	3.5132156E+001	6	08/31/2025 13:47:55.4404
1.4125570E+000	3.5208534E+001	6	08/31/2025 13:47:55.5404
1.4125584E+000	3.5176708E+001	6	08/31/2025 13:47:55.6404
1.4125762E+000	3.5195805E+001	6	08/31/2025 13:47:55.7404
1.4125727E+000	3.5214893E+001	6	08/31/2025 13:47:55.8404
1.4125844E+000	3.5163975E+001	6	08/31/2025 13:47:55.9404
1.4125887E+000	3.5157612E+001	6	08/31/2025 13:47:56.0404
1.4125961E+000	3.5163975E+001	6	08/31/2025 13:47:56.1404
1.4126072E+000	3.5195805E+001	6	08/31/2025 13:47:56.2404
1.4126118E+000	3.5233990E+001	6	08/31/2025 13:47:56.3404
1.4126227E+000	3.5195805E+001	6	08/31/2025 13:47:56.4404
1.4126186E+000	3.5163975E+001	6	08/31/2025 13:47:56.5404
1.4125752E+000	3.5246719E+001	6	08/31/2025 13:47:56.6404
1.4125853E+000	3.5208534E+001	6	08/31/2025 13:47:56.7404
1.4125960E+000	3.5195805E+001	6	08/31/2025 13:47:56.8404
1.4125469E+000	3.5189438E+001	6	08/31/2025 13:47:56.9404
1.4125509E+000	3.5106693E+001	6	08/31/2025 13:47:57.0404
1.4125590E+000	3.5183071E+001	6	08/31/2025 13:47:57.1404
1.4125650E+000	3.5284908E+001	6	08/31/2025 13:47:57.2404
1.4125737E+000	3.5240353E+001	6	08/31/2025 13:47:57.3404
1.4125767E+000	3.5240353E+001	6	08/31/2025 13:47:57.4404
1.4125860E+000	3.5176708E+001	6	08/31/2025 13:47:57.5404
1.4125888E+000	3.5214893E+001	6	08/31/2025 13:47:57.6404
1.4126034E+000	3.5176708E+001	6	08/31/2025 13:47:57.7404
1.4126097E+000	3.5202168E+001	6	08/31/2025 13:47:57.8404
1.4126183E+000	3.5221260E+001	6	08/31/2025 13:47:57.9404
1.4126191E+000	3.5125790E+001	6	08/31/2025 13:47:58.0404
1.4126295E+000	3.5144882E+001	6	08/31/2025 13:47:58.1404
1.4126307E+000	3.5221260E+001	6	08/31/2025 13:47:58.2404
1.4125961E+000	3.5138519E+001	6	08/31/2025 13:47:58.3404
1.4125453E+000	3.5214893E+001	6	08/31/2025 13:47:58.4404
1.4125066E+000	3.5259449E+001	6	08/31/2025 13:47:58.5404
1.4124382E+000	3.5208534E+001	6	08/31/2025 13:47:58.6404
1.4124430E+000	3.5265816E+001	6	08/31/2025 13:47:58.7404
1.4124470E+000	3.5246719E+001	6	08/31/2025 13:47:58.8404
1.4124594E+000	3.5272179E+001	6	08/31/2025 13:47:58.9404
1.4124655E+000	3.5208534E+001	6	08/31/2025 13:47:59.0404
1.4124736E+000	3.5221260E+001	6	08/31/2025 13:47:59.1404
1.4124845E+000	3.5151249E+001	6	08/31/2025 13:47:59.2404
1.4124954E+000	3.5246719E+001	6	08/31/2025 13:47:59.3404
1.4125031E+000	3.5297634E+001	6	08/31/2025 13:47:59.4404
1.4125105E+000	3.5183071E+001	6	08/31/2025 13:47:59.5404
1.4125171E+000	3.5221260E+001	6	08/31/2025 13:47:59.6404
1.4125209E+000	3.5259449E+001	6	08/31/2025 13:47:59.7404
1.4125332E+000	3.5214893E+001	6	08/31/2025 13:47:59.8404
1.4125397E+000	3.5214893E+001	6	08/31/2025 13:47:59.9404
1.4125409E+000	3.5189438E+001	6	08/31/2025 13:48:00.0404
1.4125522E+000	3.5272179E+001	6	08/31/2025 13:48:00.1404
1.4125623E+000	3.5272179E+001	6	08/31/2025 13:48:00.2404
1.4125619E+000	3.5227623E+001	6	08/31/2025 13:48:00.3404
1.4125757E+000	3.5240353E+001	6	08/31/2025 13:48:00.4404
1.4125817E+000	3.5272179E+001	6	08/31/2025 13:48:00.5404
1.4125849E+000	3.5176708E+001	6	08/31/2025 13:48:00.6404
1.4125924E+000	3.5221260E+001	6	08/31/2025 13:48:00.7404
1.4126008E+000	3.5195805E+001	6	08/31/2025 13:48:00.8404
1.4126079E+000	3.5291271E+001	6	08/31/2025 13:48:00.9404
1.4126184E+000	3.5202168E+001	6	08/31/2025 13:48:01.0404
1.4126246E+000	3.5132156E+001	6	08/31/2025 13:48:01.1404
1.4126388E+000	3.5183071E+001	6	08/31/2025 13:48:01.2404
1.4126424E+000	3.5176708E+001	6	08/31/2025 13:48:01.3404
1.4126468E+000	3.5240353E+001	6	08/31/2025 13:48:01.4404
1.4126484E+000	3.5176708E+001	6	08/31/2025 13:48:01.5404
1.4126050E+000	3.5265816E+001	6	08/31/2025 13:48:01.6404
1.4125509E+000	3.5183071E+001	6	08/31/2025 13:48:01.7404
1.4125332E+000	3.5253086E+001	6	08/31/2025 13:48:01.8404
1.4124912E+000	3.5227623E+001	6	08/31/2025 13:48:01.9404
1.4124998E+000	3.5240353E+001	6	08/31/2025 13:48:02.0404
1.4125012E+000	3.5272179E+001	6	08/31/2025 13:48:02.1404
1.4125067E+000	3.5208534E+001	6	08/31/2025 13:48:02.2404
1.4125170E+000	3.5246719E+001	6	08/31/2025 13:48:02.3404
1.4125322E+000	3.5195805E+001	6	08/31/2025 13:48:02.4404
1.4125314E+000	3.5284908E+001	6	08/31/2025 13:48:02.5404
1.4125383E+000	3.5233990E+001	6	08/31/2025 13:48:02.6404
1.4125466E+000	3.5138519E+001	6	08/31/2025 13:48:02.7404
1.4125584E+000	3.5240353E+001	6	08/31/2025 13:48:02.8404
1.4125625E+000	3.5195805E+001	6	08/31/2025 13:48:02.9404
1.4125719E+000	3.5195805E+001	6	08/31/2025 13:48:03.0404
1.4125806E+000	3.5233990E+001	6	08/31/2025 13:48:03.1404
1.4125855E+000	3.5253086E+001	6	08/31/2025 13:48:03.2404
1.4125954E+000	3.5183071E+001	6	08/31/2025 13:48:03.3404
1.4126036E+000	3.5253086E+001	6	08/31/2025 13:48:03.4404
1.4126052E+000	3.5176708E+001	6	08/31/2025 13:48:03.5404
1.4126173E+000	3.5195805E+001	6	08/31/2025 13:48:03.6404
1.4126197E+000	3.5170341E+001	6	08/31/2025 13:48:03.7404
1.4126250E+000	3.5214893E+001	6	08/31/2025 13:48:03.8404
1.4126326E+000	3.5246719E+001	6	08/31/2025 13:48:03.9404
1.4126374E+000	3.5253086E+001	6	08/31/2025 13:48:04.0404
1.4126449E+000	3.5246719E+001	6	08/31/2025 13:48:04.1404
1.4126478E+000	3.5253086E+001	6	08/31/2025 13:48:04.2404
1.4126577E+000	3.5227623E+001	6	08/31/2025 13:48:04.3404
1.4126633E+000	3.5246719E+001	6	08/31/2025 13:48:04.4404
1.4126170E+000	3.5183071E+001	6	08/31/2025 13:48:04.5404
1.4126213E+000	3.5233990E+001	6	08/31/2025 13:48:04.6404
1.4126313E+000	3.5214893E+001	6	08/31/2025 13:48:04.7404
1.4126397E+000	3.5189438E+001	6	08/31/2025 13:48:04.8404
1.4126464E+000	3.5195805E+001	6	08/31/2025 13:48:04.9404
1.4126515E+000	3.5189438E+001	6	08/31/2025 13:48:05.0404
1.4126569E+000	3.5272179E+001	6	08/31/2025 13:48:05.1404
1.4126589E+000	3.5284908E+001	6	08/31/2025 13:48:05.2404
1.4126689E+000	3.5246719E+001	6	08/31/2025 13:48:05.3404
1.4126724E+000	3.5227623E+001	6	08/31/2025 13:48:05.4404
1.4126797E+000	3.5202168E+001	6	08/31/2025 13:48:05.5404
1.4126846E+000	3.5246719E+001	6	08/31/2025 13:48:05.6404
1.4126943E+000	3.5176708E+001	6	08/31/2025 13:48:05.7404
1.4127023E+000	3.5144882E+001	6	08/31/2025 13:48:05.8404
1.4126831E+000	3.5183071E+001	6	08/31/2025 13:48:05.9404
1.4126356E+000	3.5304001E+001	6	08/31/2025 13:48:06.0404
1.4126353E+000	3.5233990E+001	6	08/31/2025 13:48:06.1404
1.4126000E+000	3.5208534E+001	6	08/31/2025 13:48:06.2404
1.4125299E+000	3.5246719E+001	6	08/31/2025 13:48:06.3404
1.4125098E+000	3.5253086E+001	6	08/31/2025 13:48:06.4404
1.4125183E+000	3.5284908E+001	6	08/31/2025 13:48:06.5404
1.4125261E+000	3.5214893E+001	6	08/31/2025 13:48:06.6404
1.4125351E+000	3.5272179E+001	6	08/31/2025 13:48:06.7404
1.4125434E+000	3.5195805E+001	6	08/31/2025 13:48:06.8404
1.4125484E+000	3.5214893E+001	6	08/31/2025 13:48:06.9404
1.4125587E+000	3.5208534E+001	6	08/31/2025 13:48:07.0404
1.4125693E+000	3.5176708E+001	6	08/31/2025 13:48:07.1404
1.4125721E+000	3.5189438E+001	6	08/31/2025 13:48:07.2404
1.4125813E+000	3.5233990E+001	6	08/31/2025 13:48:07.3404
1.4125861E+000	3.5189438E+001	6	08/31/2025 13:48:07.4404
1.4125994E+000	3.5240353E+001	6	08/31/2025 13:48:07.5404
1.4126033E+000	3.5202168E+001	6	08/31/2025 13:48:07.6404
1.4126126E+000	3.5157612E+001	6	08/31/2025 13:48:07.7404
1.4126177E+000	3.5221260E+001	6	08/31/2025 13:48:07.8404
1.4126270E+000	3.5291271E+001	6	08/31/2025 13:48:07.9404
1.4126353E+000	3.5221260E+001	6	08/31/2025 13:48:08.0404
1.4126405E+000	3.5176708E+001	6	08/31/2025 13:48:08.1404
1.4126439E+000	3.5272179E+001	6	08/31/2025 13:48:08.2404
1.4126529E+000	3.5157612E+001	6	08/31/2025 13:48:08.3404
1.4126633E+000	3.5233990E+001	6	08/31/2025 13:48:08.4404
1.4126681E+000	3.5144882E+001	6	08/31/2025 13:48:08.5404
1.4126785E+000	3.5284908E+001	6	08/31/2025 13:48:08.6404
1.4126840E+000	3.5151249E+001	6	08/31/2025 13:48:08.7404
1.4126880E+000	3.5151249E+001	6	08/31/2025 13:48:08.8404
1.4126939E+000	3.5183071E+001	6	08/31/2025 13:48:08.9404
1.4127021E+000	3.5208534E+001	6	08/31/2025 13:48:09.0404
1.4127107E+000	3.5176708E+001	6	08/31/2025 13:48:09.1404
1.4127194E+000	3.5221260E+001	6	08/31/2025 13:48:09.2404
1.4127181E+000	3.5233990E+001	6	08/31/2025 13:48:09.3404
1.4127356E+000	3.5208534E+001	6	08/31/2025 13:48:09.4404
1.4127332E+000	3.5240353E+001	6	08/31/2025 13:48:09.5404
1.4127450E+000	3.5214893E+001	6	08/31/2025 13:48:09.6404
1.4127498E+000	3.5195805E+001	6	08/31/2025 13:48:09.7404
1.4127557E+000	3.5278545E+001	6	08/31/2025 13:48:09.8404
1.4127620E+000	3.5214893E+001	6	08/31/2025 13:48:09.9404
1.4127659E+000	3.5246719E+001	6	08/31/2025 13:48:10.0404
1.4127734E+000	3.5233990E+001	6	08/31/2025 13:48:10.1404
1.4127803E+000	3.5221260E+001	6	08/31/2025 13:48:10.2404
1.4127897E+000	3.5144882E+001	6	08/31/2025 13:48:10.3404
1.4127905E+000	3.5265816E+001	6	08/31/2025 13:48:10.4404
1.4127985E+000	3.5259449E+001	6	08/31/2025 13:48:10.5404
1.4128073E+000	3.5214893E+001	6	08/31/2025 13:48:10.6404
1.4128128E+000	3.5163975E+001	6	08/31/2025 13:48:10.7404
1.4128195E+000	3.5163975E+001	6	08/31/2025 13:48:10.8404
1.4128315E+000	3.5246719E+001	6	08/31/2025 13:48:10.9404
1.4127938E+000	3.5278545E+001	6	08/31/2025 13:48:11.0404
1.4127742E+000	3.5119427E+001	6	08/31/2025 13:48:11.1404
1.4127820E+000	3.5259449E+001	6	08/31/2025 13:48:11.2404
1.4127871E+000	3.5202168E+001	6	08/31/2025 13:48:11.3404
1.4127903E+000	3.5278545E+001	6	08/31/2025 13:48:11.4404
1.4128020E+000	3.5214893E+001	6	08/31/2025 13:48:11.5404
1.4128122E+000	3.5189438E+001	6	08/31/2025 13:48:11.6404
1.4128079E+000	3.5151249E+001	6	08/31/2025 13:48:11.7404
